Etablissement;Filière de formation;Filière de formation très détaillée;Capacité de l’établissement par formation;Dont effectif des admis néo bacheliers sans information sur la mention au bac;Dont effectif des admis néo bacheliers sans mention au bac;Dont effectif des admis néo bacheliers avec mention Assez Bien au bac;Dont effectif des admis néo bacheliers avec mention Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien avec félicitations au bac;% d’admis néo bacheliers sans information sur la mention au bac;% d’admis néo bacheliers sans mention au bac;% d’admis néo bacheliers avec mention Assez Bien au bac;% d’admis néo bacheliers avec mention Bien au bac;% d’admis néo bacheliers avec mention Très Bien au bac;% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Effectif total des candidats pour une formation
Université Côte d'Azur;Licence - Portail Chimie - Physique-Mathématiques - Sci. de la Terre - Electronique - Informatique - Mathématiques & Informatique Appliqués aux Scie. Humaines (MIASH);Chimie - Physique-Mathématiques - Sci. de la Terre - Electronique - Informatique - Mathématiques & Informatique Appliqués aux Scie. Humaines (MIASH);455;0;56;72;45;11;2;0;30;39;24;6;1;343;2744
Université de Lille;Licence - Administration économique et sociale;;450;0;123;66;28;3;0;0;56;30;13;1;0;441;3361
Ecole de management de Normandie - Campus de Paris Clichy;Formation des écoles de commerce et de management;;450;0;126;213;130;15;1;0;26;44;27;3;0;530;6810
Université Toulouse 2 Jean Jaurès;Licence - Sociologie;;450;0;103;48;7;7;1;0;62;29;4;4;1;440;2434
Université Clermont Auvergne;Licence - Portail Psychologie;;450;0;147;106;47;5;0;0;48;35;15;2;0;445;3820
Université d'Orléans;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;Sciences et Techniques des Activités Physiques et Sportives - Orléans;450;0;178;139;51;8;2;0;47;37;13;2;1;445;3204
Institut Catholique de Lille - Faculté des Lettres et Sciences Humaines;Licence - Humanités - Parcours Culture et Médias;Culture et Médias;450;0;22;22;15;9;0;0;32;32;22;13;0;91;500
Institut Catholique de Lille - Faculté des Lettres et Sciences Humaines;Licence - Portail Psychologie;;446;0;102;84;42;9;0;0;43;35;18;4;0;436;2052
Université Toulouse 3 Paul Sabatier;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - Sciences et Techniques des Activités Physiques et Sportives (STAPS);Sciences et Techniques des Activités Physiques et Sportives (STAPS);446;0;123;165;99;13;3;0;31;41;25;3;1;443;6715
Université de Lille;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;;445;0;92;95;43;15;1;0;37;39;17;6;0;441;6035
Université d'Artois - Site de Douai;Licence - Portail  classique;classique;440;0;124;92;72;16;2;0;41;30;24;5;1;411;2220
Université de Montpellier;Licence - Portail Sciences de la vie - Licence - Portail Sciences de la Vie/Sciences de l'environnement (SVSE);Licence - Portail Sciences de la Vie/Sciences de l'environnement (SVSE);440;0;56;92;89;20;1;0;22;36;34;8;0;424;4208
Nantes Université;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - STAPS (sports);STAPS (sports);440;0;145;188;74;8;0;0;35;45;18;2;0;442;5449
Université Bordeaux Montaigne;Licence - Langues étrangères appliquées - Parcours Licence 1 LEA - Anglais-Espagnol;Licence 1 LEA - Anglais-Espagnol;440;0;121;111;46;6;1;0;42;39;16;2;0;431;2458
Université de Reims Champagne-Ardenne;Licence - Sciences et Techniques des Activités Physiques et Sportives;;436;0;177;131;23;8;0;0;52;39;7;2;0;427;2443
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Licence - Portail Psychologie;;434;0;107;126;54;10;0;0;36;42;18;3;0;433;4174
Université Toulouse 2 Jean Jaurès;Licence - Histoire de l'art et archéologie - Parcours Histoire de l'art et Archéologie;Histoire de l'art et Archéologie;430;0;106;63;28;1;2;0;53;32;14;0;1;425;2321
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12);Licence - Economie et gestion;;430;1;131;146;34;7;0;0;41;46;11;2;0;411;7564
Université Paris Nanterre;Licence - Economie et gestion;;430;0;172;104;24;2;1;0;57;34;8;1;0;426;5452
Nantes Université;Licence - Sociologie;;428;0;136;70;17;3;0;0;60;31;8;1;0;402;2584
Université de Bordeaux - Bordeaux Métropole;Licence - Portail Sciences et technologies;Sciences et technologies : Sciences de la vie;428;0;83;90;54;5;0;0;36;39;23;2;0;418;4811
Université Côte d'Azur;Licence - Portail Economie et gestion;;420;0;143;92;40;11;2;0;49;32;14;4;1;412;4220
Université d'Evry Val d'Essonne;Licence - Droit;;420;0;202;99;26;0;0;0;62;30;8;0;0;412;2151
ECOLE DE MANAGEMENT DE LYON;Formation des écoles de commerce et de management;;420;0;69;196;125;23;0;0;17;47;30;6;0;447;5912
Nantes Université;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours LLCER : Anglais Monolingue et Bilingue;LLCER : Anglais Monolingue et Bilingue;420;0;76;98;49;12;1;0;32;42;21;5;0;353;1985
Université de Bourgogne - site de Dijon;Licence - Portail Chimie / Informatique / Mathématiques / Physique / Sciences pour l'Ingénieur (Electronique ou Mécanique);Chimie / Informatique / Mathématiques / Physique / Sciences pour l'Ingénieur (Electronique ou Mécanique);415;0;35;43;19;8;2;0;33;40;18;7;2;214;2170
Université de la Réunion - Le Tampon;Licence - Portail Droit;: Université de la Réunion - Le Tampon;410;0;65;53;47;7;2;0;37;30;27;4;1;238;1281
Université de Tours;Licence - Portail Psychologie;;410;0;38;127;92;24;2;0;13;45;33;8;1;419;5252
Université de Rennes 2;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;;410;0;153;168;49;11;0;0;40;44;13;3;0;422;6834
Université de Guyane;Licence - Administration économique et sociale - Parcours Administration, économie, finances, entreprises;Administration, économie, finances, entreprises;410;0;198;65;11;1;0;0;72;24;4;0;0;404;1057
Université Toulouse 2 Jean Jaurès;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Espagnol;Espagnol;400;0;53;29;10;1;0;0;57;31;11;1;0;244;1192
